Name,Kategorie,Eigenschaften/Domäne,Verwandtschaft,Ereignisse mit anderen Göttern,Gefühle/Beziehung zu anderen
Spercheios,Flussgott,Fluss Spercheios,Sohn von Oceanus,Achilleus weihte ihm sein Haar,Respektiert
Strymon,Flussgott,Fluss Strymon,Sohn von Oceanus,Vater des Königs Rhesos,Trauernd um Rhesos
Ilissos,Flussgott,Fluss Ilissos,Sohn von Oceanus,Kleiner Fluss in Athen,Bescheiden
Kithairon,Berggott,Berg Kithairon,Sohn von Gaia,Ort des Pentheus-Todes,"Wild, ungezähmt"
Helikon,Berggott,Berg Helikon,Sohn von Gaia,Heimat der Musen,"Inspirierend, heilig"
Olymp,Berggott,Berg Olymp,Sohn von Gaia,Sitz der Götter,"Erhaben, unnahbar"
Parnass,Berggott,Berg Parnass,Sohn von Gaia,Ort des Orakels von Delphi,"Heilig, prophetisch"
Athos,Berggott,Berg Athos,Sohn von Gaia,Gigant warf den Berg,Massiv
Oita,Berggott,Berg Oita,Sohn von Gaia,Ort des Herakles-Scheiterhaufens,"Tragisch, hoch"
Ida,Berggott,Berg Ida,Sohn von Gaia,Ort der Geburt des Zeus,Schützend
Dikte,Berggott,Berg Dikte,Sohn von Gaia,Höhle des Zeus,Versteckt
Tmolos,Berggott,Berg Tmolos,Sohn von Gaia,Richter im Musikwettstreit (Pan/Apollon),"Gerecht, musikalisch"
Nysa,Berggott,Berg Nysa,Sohn von Gaia,Aufzuchtsort des Dionysos,"Üppig, festlich"
Aristaios,Naturgott,"Imkerei, Käse, Jagd",Sohn von Apollon und Kyrene,Verursachte Eurydikes Tod,"Nützlich, aber teils tragisch"
Britomartis,Naturgöttin,"Netze, Jagd",Tochter von Zeus und Karme,"Floh vor Minos, wurde zur Göttin Diktynna","Flüchtig, unabhängig"
Kybele,Muttergöttin,"Natur, Höhlen","Urspr. phrygisch, mit Rhea gleichgesetzt","Liebte Attis, trieb ihn in Wahnsinn","Wild, orgiastisch"
Korybanten,Minor,Waffentanz,Gefolge der Kybele,Übertönten Zeus' Weinen,"Laut, ekstatisch"
Silenos,Minor,Trunkenheit,Begleiter von Dionysos,"Wurde von Midas gefangen, weise in Trunkenheit","Trunken, prophetisch"
Kaikias,Windgott,Nordostwind,Sohn von Astraios und Eos,Bringt Hagel,"Kalt, hart"
Apeliotes,Windgott,Südostwind,Sohn von Astraios und Eos,"Bringt leichten Regen, fruchtbar",Nährend
Skiron,Windgott,Nordwestwind,Sohn von Astraios und Eos,Bringt Trockenheit,"Dürr, heiß"
Lips,Windgott,Südwestwind,Sohn von Astraios und Eos,Bringt Stürme ins Mittelmeer,Gefährlich für Schiffe
Phosphoros,Sternengott,Morgenstern,Sohn von Astraios und Eos,Führt den Tag an,Strahlend
Hesperos,Sternengott,Abendstern,Sohn von Astraios und Eos,Bringt den Abend,"Sanft, beruhigend"
Alkyoneus,Gigant,"Kraft, Unsterblichkeit (in Heimat)",Sohn von Gaia und Tartaros,Von Herakles getötet,"Riesig, rebellisch"
Porphyrion,Gigant,König der Giganten,Sohn von Gaia und Tartaros,"Griff Hera an, von Zeus/Herakles getötet","Anführer, aggressiv"
Enkelados,Gigant,"Feuer, Zerstörung",Sohn von Gaia und Tartaros,Von Athene unter Sizilien begraben,Verursacht Vulkanausbrüche
Ephialtes,Gigant,Kampfkraft,Sohn von Gaia und Tartaros,Pfeile in beide Augen von Apollon und Herakles,"Blind, besiegt"
Klytios,Gigant,Magie,Sohn von Gaia und Tartaros,Von Hekate mit Fackeln verbrannt,"Magisch, machtlos"
Polybotes,Gigant,Meereszerstörer,Sohn von Gaia und Tartaros,Von Poseidon unter Insel Nisyros begraben,Eingesperrt
Hippolytos,Gigant,Schwertkämpfer,Sohn von Gaia und Tartaros,Von Hermes im Unsichtbarkeitshut getötet,Überrumpelt
Gration,Gigant,Bogenschütze,Sohn von Gaia und Tartaros,Von Artemis getötet,Getroffen
Agrios,Gigant,Wildheit,Sohn von Gaia und Tartaros,Von Moiren mit Bronzekeulen erschlagen,Brutal
Thoas,Gigant,Schnelligkeit,Sohn von Gaia und Tartaros,Von Moiren erschlagen,"Schnell, besiegt"
Mimas,Gigant,Kraft,Sohn von Gaia und Tartaros,Von Hephaistos mit heißem Metall übergossen,Verbrannt
Herakles,Olympier,"Kraft, Heldenmut",Sohn von Zeus und Alkmene (vergöttlicht),"Erfüllte 12 Arbeiten, heiratete Hebe","Stolz, stärkster Halbgott"
Kastor,Minor,Reitkunst,Sohn von Tyndareos und Leda (Dioskuren),"Vergöttlicht, teilt Unsterblichkeit",Brüderlich
Polydeukes,Minor,Faustkampf,Sohn von Zeus und Leda (Dioskuren),Teilte seine Unsterblichkeit mit Kastor,Aufopfernd
Ariadne,Minor,"Pfade, Labyrinthe","Tochter des Minos, Frau des Dionysos","Von Theseus verlassen, vom Gott gerettet",Glücklich mit Dionysos
Psyche,Minor,Seele,Frau des Eros,Meisterte Prüfungen der Aphrodite,"Liebend, ausdauernd"
Leukothea,Meeresgöttin,Retterin von Schiffbrüchigen,"Ino, von Göttern verwandelt",Half Odysseus mit Schleier,"Hilfsbereit, tragische Vorgeschichte"
Palaemon,Meeresgott,Häfen,"Melikertes, Sohn der Ino",Wird auf Delphin reitend dargestellt,Freundlich
Minos,Unterwelt-Richter,Gesetz,Sohn von Zeus und Europa,Richtet die Seelen,"Streng, endgültig"
Rhadamanthys,Unterwelt-Richter,Gerechtigkeit,Sohn von Zeus und Europa,Richter der asiatischen Seelen,"Gerecht, unbestechlich"
Aiakos,Unterwelt-Richter,Integrität,Sohn von Zeus und Aigina,Bewacht Schlüssel der Unterwelt,"Pietätvoll, vertrauenswürdig"
Metis,Okeanide,"Guter Rat, List",Tochter von Oceanus,"Erste Frau des Zeus, von ihm verschlungen","Mutter der Athene, klug"
Eurynome,Okeanide,Weiden,Tochter von Oceanus,Mutter der Chariten mit Zeus,Sanft
Perseis,Okeanide,Magie,Tochter von Oceanus,"Frau des Helios, Mutter der Kirke",Magisch
Idyia,Okeanide,Wissen,Tochter von Oceanus,"Frau des Aietes, Königin von Kolchis",Wissend
Kallirrhoe,Okeanide,Schöne Quelle,Tochter von Oceanus,"Ehefrau des Chrysaor, Mutter des Geryon",Fruchtbar
Pleione,Okeanide,Sternhaufen (Plejaden),Tochter von Oceanus,Mutter der 7 Plejaden mit Atlas,Mütterlich
Melia,Okeanide,Esche,Tochter von Oceanus,Gebar Ismenos und Teneros mit Apollon,Verehrt in Theben
Asie,Okeanide,Kontinent Asien,Tochter von Oceanus,Namensgeberin,Verankert
Hesione,Okeanide,Weitsicht,Tochter von Oceanus,Gefährtin des Prometheus,Tröstend
Elektra,Okeanide,Bernstein,Tochter von Oceanus,Mutter von Iris und den Harpyien,Strahlend
Dione,Okeanide/Titanin,Himmel,Tochter von Oceanus (oder Uranos),Mutter von Aphrodite (in Iliade),"Mütterlich, himmlisch"
Pluto,Okeanide,Reichtum,Tochter von Oceanus,Mutter des Tantalos,Verleiht Wohlstand
Typhon,Monstergott,"Stürme, Zerstörung",Sohn von Tartaros und Gaia,"Kämpfte gegen Zeus, unter Ätna begraben","Monströs, Feind aller Götter"
Echidna,Monstergöttin,Mutter der Monster,Tochter von Phorkys und Keto,"Gebar Kerberos, Hydra, Sphinx etc.","Halb Frau, halb Schlange, grausam"
Chimaira,Monster,Feuer,Tochter von Typhon und Echidna,Von Bellerophon getötet,"Löwe, Ziege, Schlange"
Sphinx,Monster,Rätsel,Tochter von Typhon und Echidna,"Tötete Thebaner, die Rätsel nicht lösten","Intelligent, tödlich"
Hydra,Monster,Gift,Tochter von Typhon und Echidna,Von Herakles erschlagen,"Vielköpfig, giftig"
Kerberos,Monster,Höllenhund,Sohn von Typhon und Echidna,Bewacht Tor zur Unterwelt,"Treu zu Hades, furchteinflößend"
Orthos,Monster,Zweiköpfiger Hund,Sohn von Typhon und Echidna,Bewachte Rinder des Geryon,Von Herakles getötet
Ladon,Monster,Drache,Sohn von Typhon und Echidna,Bewachte Goldene Äpfel der Hesperiden,"Wachsam, gefährlich"
Nemeischer Löwe,Monster,Unverwundbarkeit,Sohn von Typhon und Echidna,Von Herakles erwürgt,Undurchdringliches Fell
Krommyonische Sau,Monster,Zerstörung,Tochter von Typhon und Echidna,Von Theseus getötet,"Wild, wütend"
Othos,Aloaden (Riese),Übermut,Sohn von Poseidon,"Sperrte Ares in eine Vase, wollte Hera heiraten",Von Apollon getötet
Ephialtes (Aloade),Aloaden (Riese),Kühnheit,Sohn von Poseidon,"Wollte Artemis heiraten, erschossen",Überheblich
Tityos,Riese,Lust,Sohn von Zeus und Elara,"Wollte Leto vergewaltigen, Geier frisst Leber",Ewig bestraft in Unterwelt
Antaios,Riese,Erdkraft,Sohn von Poseidon und Gaia,Unbesiegbar solange er Boden berührt,Von Herakles in der Luft erdrückt
Orion,Riese/Jäger,Jagd,Sohn von Poseidon,"Mit Artemis gejagt, von Skorpion getötet",In Sternbild verwandelt
Polyphem,Kyklop,"Hirten, Kraft",Sohn von Poseidon,Von Odysseus geblendet,"Wild, menschenfressend"
Brontes,Älterer Kyklop,Donner,Sohn von Uranos und Gaia,Schmiedete Zeus' Blitze,"Kräftig, loyal zu Zeus"
Steropes,Älterer Kyklop,Blitz,Sohn von Uranos und Gaia,Schmiedete Zeus' Blitze,Meisterschmied
Arges,Älterer Kyklop,Strahl,Sohn von Uranos und Gaia,Schmiedete Zeus' Blitze,Hell leuchtend
Kottos,Hekatoncheir,Hundert Arme,Sohn von Uranos und Gaia,Bewacht Titanen im Tartaros,Gewaltig
Briareos,Hekatoncheir,Kraft,Sohn von Uranos und Gaia,Half Zeus bei Rebellion der Götter,Loyal zu Zeus
Gyges,Hekatoncheir,Stärke,Sohn von Uranos und Gaia,Bewacht Tartaros,"Schrecklich, loyal"
